"Card Type","question","answer","tags","id","next_appearance","date_added","Structure Image","structure_image"
"Fate","Is PFUnA terminal, a precursor, or an intermediate?","Terminal PFAA","1633,pfca,low","32","2026-07-03 15:57:14.240673","2026-07-02 10:45:04.873270","",""
"Class","What PFAS class is PFDoA?","PFCA","1633,pfca,low","33","2026-07-03 15:57:16.050294","2026-07-02 10:45:04.873270","",""
"Head group","What head group does PFDoA have?","Carboxylic acid / carboxylate","1633,pfca,low","34","2026-07-03 15:57:17.879401","2026-07-02 10:45:04.873270","",""
"Source","What source pattern is suggested by PFDoA?","PFCA homolog pattern helps distinguish short-chain mobile plumes, fluorotelomer oxidation, wastewater/landfill signals, and PFOA-associated industrial history.","1633,pfca,low","35","2026-07-03 15:57:19.599936","2026-07-02 10:45:04.873270","",""
"Fate","Is PFDoA terminal, a precursor, or an intermediate?","Terminal PFAA","1633,pfca,low","36","2026-07-03 15:57:21.694595","2026-07-02 10:45:04.873270","",""
"Class","What PFAS class is PFTrDA?","PFCA","1633,pfca,low","37","2020-01-01 00:00:00.000000","2026-07-02 10:45:04.873270","",""
"Head group","What head group does PFTrDA have?","Carboxylic acid / carboxylate","1633,pfca,low","38","2020-01-01 00:00:00.000000","2026-07-02 10:45:04.873270","",""
"Source","What source pattern is suggested by PFTrDA?","PFCA homolog pattern helps distinguish short-chain mobile plumes, fluorotelomer oxidation, wastewater/landfill signals, and PFOA-associated industrial history.","1633,pfca,low","39","2020-01-01 00:00:00.000000","2026-07-02 10:45:04.873270","",""
"Fate","Is PFTrDA terminal, a precursor, or an intermediate?","Terminal PFAA","1633,pfca,low","40","2020-01-01 00:00:00.000000","2026-07-02 10:45:04.873270","",""
"Class","What PFAS class is PFTeDA?","PFCA","1633,pfca,low","41","2020-01-01 00:00:00.000000","2026-07-02 10:45:04.873270","",""
"Head group","What head group does PFTeDA have?","Carboxylic acid / carboxylate","1633,pfca,low","42","2020-01-01 00:00:00.000000","2026-07-02 10:45:04.873270","",""
"Source","What source pattern is suggested by PFTeDA?","PFCA homolog pattern helps distinguish short-chain mobile plumes, fluorotelomer oxidation, wastewater/landfill signals, and PFOA-associated industrial history.","1633,pfca,low","43","2020-01-01 00:00:00.000000","2026-07-02 10:45:04.873270","",""
"Fate","Is PFTeDA terminal, a precursor, or an intermediate?","Terminal PFAA","1633,pfca,low","44","2020-01-01 00:00:00.000000","2026-07-02 10:45:04.873270","",""
"Class","What PFAS class is PFBS?","PFSA","1633,pfsa,moderate","45","2020-01-01 00:00:00.000000","2026-07-02 10:45:04.873270","",""
"Head group","What head group does PFBS have?","Sulfonic acid / sulfonate","1633,pfsa,moderate","46","2020-01-01 00:00:00.000000","2026-07-02 10:45:04.873270","",""
"Source","What source pattern is suggested by PFBS?","PFSA patterns, especially PFOS + PFHxS + branched isomers, strongly support legacy ECF/3M-type chemistry and can be AFFF-relevant.","1633,pfsa,moderate","47","2020-01-01 00:00:00.000000","2026-07-02 10:45:04.873270","",""
"Fate","Is PFBS terminal, a precursor, or an intermediate?","Terminal PFAA","1633,pfsa,moderate","48","2020-01-01 00:00:00.000000","2026-07-02 10:45:04.873270","",""
"Class","What PFAS class is PFPeS?","PFSA","1633,pfsa,moderate","49","2020-01-01 00:00:00.000000","2026-07-02 10:45:04.873270","",""
"Head group","What head group does PFPeS have?","Sulfonic acid / sulfonate","1633,pfsa,moderate","50","2020-01-01 00:00:00.000000","2026-07-02 10:45:04.873270","",""
"Source","What source pattern is suggested by PFPeS?","PFSA patterns, especially PFOS + PFHxS + branched isomers, strongly support legacy ECF/3M-type chemistry and can be AFFF-relevant.","1633,pfsa,moderate","51","2020-01-01 00:00:00.000000","2026-07-02 10:45:04.873270","",""
"Fate","Is PFPeS terminal, a precursor, or an intermediate?","Terminal PFAA","1633,pfsa,moderate","52","2020-01-01 00:00:00.000000","2026-07-02 10:45:04.873270","",""
"Class","What PFAS class is PFHxS?","PFSA","1633,pfsa,high","53","2020-01-01 00:00:00.000000","2026-07-02 10:45:04.873270","",""
"Head group","What head group does PFHxS have?","Sulfonic acid / sulfonate","1633,pfsa,high","54","2020-01-01 00:00:00.000000","2026-07-02 10:45:04.873270","",""
"Source","What source pattern is suggested by PFHxS?","PFSA patterns, especially PFOS + PFHxS + branched isomers, strongly support legacy ECF/3M-type chemistry and can be AFFF-relevant.","1633,pfsa,high","55","2020-01-01 00:00:00.000000","2026-07-02 10:45:04.873270","",""
"Fate","Is PFHxS terminal, a precursor, or an intermediate?","Terminal PFAA","1633,pfsa,high","56","2020-01-01 00:00:00.000000","2026-07-02 10:45:04.873270","",""
"Class","What PFAS class is PFHpS?","PFSA","1633,pfsa,high","57","2020-01-01 00:00:00.000000","2026-07-02 10:45:04.873270","",""
"Head group","What head group does PFHpS have?","Sulfonic acid / sulfonate","1633,pfsa,high","58","2020-01-01 00:00:00.000000","2026-07-02 10:45:04.873270","",""
"Source","What source pattern is suggested by PFHpS?","PFSA patterns, especially PFOS + PFHxS + branched isomers, strongly support legacy ECF/3M-type chemistry and can be AFFF-relevant.","1633,pfsa,high","59","2020-01-01 00:00:00.000000","2026-07-02 10:45:04.873270","",""
"Fate","Is PFHpS terminal, a precursor, or an intermediate?","Terminal PFAA","1633,pfsa,high","60","2020-01-01 00:00:00.000000","2026-07-02 10:45:04.873270","",""
"Class","What PFAS class is PFOS?","PFSA","1633,pfsa,high","61","2020-01-01 00:00:00.000000","2026-07-02 10:45:04.873270","",""
"Head group","What head group does PFOS have?","Sulfonic acid / sulfonate","1633,pfsa,high","62","2020-01-01 00:00:00.000000","2026-07-02 10:45:04.873270","",""
"Source","What source pattern is suggested by PFOS?","PFSA patterns, especially PFOS + PFHxS + branched isomers, strongly support legacy ECF/3M-type chemistry and can be AFFF-relevant.","1633,pfsa,high","63","2020-01-01 00:00:00.000000","2026-07-02 10:45:04.873270","",""
"Fate","Is PFOS terminal, a precursor, or an intermediate?","Terminal PFAA","1633,pfsa,high","64","2020-01-01 00:00:00.000000","2026-07-02 10:45:04.873270","",""
"Class","What PFAS class is PFNS?","PFSA","1633,pfsa,low","65","2020-01-01 00:00:00.000000","2026-07-02 10:45:04.873270","",""
"Head group","What head group does PFNS have?","Sulfonic acid / sulfonate","1633,pfsa,low","66","2020-01-01 00:00:00.000000","2026-07-02 10:45:04.873270","",""
"Source","What source pattern is suggested by PFNS?","PFSA patterns, especially PFOS + PFHxS + branched isomers, strongly support legacy ECF/3M-type chemistry and can be AFFF-relevant.","1633,pfsa,low","67","2020-01-01 00:00:00.000000","2026-07-02 10:45:04.873270","",""
"Fate","Is PFNS terminal, a precursor, or an intermediate?","Terminal PFAA","1633,pfsa,low","68","2020-01-01 00:00:00.000000","2026-07-02 10:45:04.873270","",""
"Class","What PFAS class is PFDS?","PFSA","1633,pfsa,low","69","2020-01-01 00:00:00.000000","2026-07-02 10:45:04.873270","",""
"Head group","What head group does PFDS have?","Sulfonic acid / sulfonate","1633,pfsa,low","70","2020-01-01 00:00:00.000000","2026-07-02 10:45:04.873270","",""
"Source","What source pattern is suggested by PFDS?","PFSA patterns, especially PFOS + PFHxS + branched isomers, strongly support legacy ECF/3M-type chemistry and can be AFFF-relevant.","1633,pfsa,low","71","2020-01-01 00:00:00.000000","2026-07-02 10:45:04.873270","",""
"Fate","Is PFDS terminal, a precursor, or an intermediate?","Terminal PFAA","1633,pfsa,low","72","2020-01-01 00:00:00.000000","2026-07-02 10:45:04.873270","",""
"Class","What PFAS class is PFDoS?","PFSA","1633,pfsa,low","73","2020-01-01 00:00:00.000000","2026-07-02 10:45:04.873270","",""
"Head group","What head group does PFDoS have?","Sulfonic acid / sulfonate","1633,pfsa,low","74","2020-01-01 00:00:00.000000","2026-07-02 10:45:04.873270","",""
"Source","What source pattern is suggested by PFDoS?","PFSA patterns, especially PFOS + PFHxS + branched isomers, strongly support legacy ECF/3M-type chemistry and can be AFFF-relevant.","1633,pfsa,low","75","2020-01-01 00:00:00.000000","2026-07-02 10:45:04.873270","",""
"Fate","Is PFDoS terminal, a precursor, or an intermediate?","Terminal PFAA","1633,pfsa,low","76","2020-01-01 00:00:00.000000","2026-07-02 10:45:04.873270","",""
"Class","What PFAS class is 4:2FTS?","FTS","1633,fts,moderate","77","2020-01-01 00:00:00.000000","2026-07-02 10:45:04.873270","",""
"Head group","What head group does 4:2FTS have?","Sulfonic acid / sulfonate with telomer spacer","1633,fts,moderate","78","2020-01-01 00:00:00.000000","2026-07-02 10:45:04.873270","",""
"Source","What source pattern is suggested by 4:2FTS?","4:2FTS is a major telomer-chemistry clue; 6:2FTS is especially important for fluorotelomer AFFF interpretation.","1633,fts,moderate","79","2020-01-01 00:00:00.000000","2026-07-02 10:45:04.873270","",""
"Fate","Is 4:2FTS terminal, a precursor, or an intermediate?","Precursor / intermediate","1633,fts,moderate","80","2020-01-01 00:00:00.000000","2026-07-02 10:45:04.873270","",""
"Class","What PFAS class is 6:2FTS?","FTS","1633,fts,high","81","2020-01-01 00:00:00.000000","2026-07-02 10:45:04.873270","",""
"Head group","What head group does 6:2FTS have?","Sulfonic acid / sulfonate with telomer spacer","1633,fts,high","82","2020-01-01 00:00:00.000000","2026-07-02 10:45:04.873270","",""
"Source","What source pattern is suggested by 6:2FTS?","6:2FTS is a major telomer-chemistry clue; 6:2FTS is especially important for fluorotelomer AFFF interpretation.","1633,fts,high","83","2020-01-01 00:00:00.000000","2026-07-02 10:45:04.873270","",""
"Fate","Is 6:2FTS terminal, a precursor, or an intermediate?","Precursor / intermediate","1633,fts,high","84","2020-01-01 00:00:00.000000","2026-07-02 10:45:04.873270","",""
"Class","What PFAS class is 8:2FTS?","FTS","1633,fts,moderate","85","2020-01-01 00:00:00.000000","2026-07-02 10:45:04.873270","",""
"Head group","What head group does 8:2FTS have?","Sulfonic acid / sulfonate with telomer spacer","1633,fts,moderate","86","2020-01-01 00:00:00.000000","2026-07-02 10:45:04.873270","",""
"Source","What source pattern is suggested by 8:2FTS?","8:2FTS is a major telomer-chemistry clue; 6:2FTS is especially important for fluorotelomer AFFF interpretation.","1633,fts,moderate","87","2020-01-01 00:00:00.000000","2026-07-02 10:45:04.873270","",""
"Fate","Is 8:2FTS terminal, a precursor, or an intermediate?","Precursor / intermediate","1633,fts,moderate","88","2020-01-01 00:00:00.000000","2026-07-02 10:45:04.873270","",""
"Class","What PFAS class is PFOSA?","FOSA","1633,fosa,moderate","89","2020-01-01 00:00:00.000000","2026-07-02 10:45:04.873270","",""
"Head group","What head group does PFOSA have?","Sulfonamide","1633,fosa,moderate","90","2020-01-01 00:00:00.000000","2026-07-02 10:45:04.873270","",""
"Source","What source pattern is suggested by PFOSA?","PFOSA supports PFOS-precursor/sulfonamide chemistry rather than simple terminal PFSA contamination.","1633,fosa,moderate","91","2020-01-01 00:00:00.000000","2026-07-02 10:45:04.873270","",""
"Fate","Is PFOSA terminal, a precursor, or an intermediate?","Precursor / intermediate","1633,fosa,moderate","92","2020-01-01 00:00:00.000000","2026-07-02 10:45:04.873270","",""
"Class","What PFAS class is NMeFOSA?","FOSA","1633,fosa,moderate","93","2020-01-01 00:00:00.000000","2026-07-02 10:45:04.873270","",""
"Head group","What head group does NMeFOSA have?","Sulfonamide","1633,fosa,moderate","94","2020-01-01 00:00:00.000000","2026-07-02 10:45:04.873270","",""
"Source","What source pattern is suggested by NMeFOSA?","NMeFOSA supports PFOS-precursor/sulfonamide chemistry rather than simple terminal PFSA contamination.","1633,fosa,moderate","95","2020-01-01 00:00:00.000000","2026-07-02 10:45:04.873270","",""
"Fate","Is NMeFOSA terminal, a precursor, or an intermediate?","Precursor / intermediate","1633,fosa,moderate","96","2020-01-01 00:00:00.000000","2026-07-02 10:45:04.873270","",""
"Class","What PFAS class is NEtFOSA?","FOSA","1633,fosa,moderate","97","2020-01-01 00:00:00.000000","2026-07-02 10:45:04.873270","",""
"Head group","What head group does NEtFOSA have?","Sulfonamide","1633,fosa,moderate","98","2020-01-01 00:00:00.000000","2026-07-02 10:45:04.873270","",""
"Source","What source pattern is suggested by NEtFOSA?","NEtFOSA supports PFOS-precursor/sulfonamide chemistry rather than simple terminal PFSA contamination.","1633,fosa,moderate","99","2020-01-01 00:00:00.000000","2026-07-02 10:45:04.873270","",""
"Fate","Is NEtFOSA terminal, a precursor, or an intermediate?","Precursor / intermediate","1633,fosa,moderate","100","2020-01-01 00:00:00.000000","2026-07-02 10:45:04.873270","",""
"Class","What PFAS class is NMeFOSAA?","FOSAA","1633,fosaa,moderate","101","2020-01-01 00:00:00.000000","2026-07-02 10:45:04.873270","",""
"Head group","What head group does NMeFOSAA have?","Sulfonamidoacetic acid","1633,fosaa,moderate","102","2020-01-01 00:00:00.000000","2026-07-02 10:45:04.873270","",""
"Source","What source pattern is suggested by NMeFOSAA?","NMeFOSAA is a strong indicator of PFOS-precursor chemistry and can explain formation of PFOS over time.","1633,fosaa,moderate","103","2020-01-01 00:00:00.000000","2026-07-02 10:45:04.873270","",""
"Fate","Is NMeFOSAA terminal, a precursor, or an intermediate?","Precursor / intermediate","1633,fosaa,moderate","104","2020-01-01 00:00:00.000000","2026-07-02 10:45:04.873270","",""
"Class","What PFAS class is NEtFOSAA?","FOSAA","1633,fosaa,moderate","105","2020-01-01 00:00:00.000000","2026-07-02 10:45:04.873270","",""
"Head group","What head group does NEtFOSAA have?","Sulfonamidoacetic acid","1633,fosaa,moderate","106","2020-01-01 00:00:00.000000","2026-07-02 10:45:04.873270","",""
"Source","What source pattern is suggested by NEtFOSAA?","NEtFOSAA is a strong indicator of PFOS-precursor chemistry and can explain formation of PFOS over time.","1633,fosaa,moderate","107","2020-01-01 00:00:00.000000","2026-07-02 10:45:04.873270","",""
"Fate","Is NEtFOSAA terminal, a precursor, or an intermediate?","Precursor / intermediate","1633,fosaa,moderate","108","2020-01-01 00:00:00.000000","2026-07-02 10:45:04.873270","",""
"Class","What PFAS class is NMeFOSE?","FOSE","1633,fose,low to moderate","109","2020-01-01 00:00:00.000000","2026-07-02 10:45:04.873270","",""
"Head group","What head group does NMeFOSE have?","Sulfonamidoethanol","1633,fose,low to moderate","110","2020-01-01 00:00:00.000000","2026-07-02 10:45:04.873270","",""
"Source","What source pattern is suggested by NMeFOSE?","NMeFOSE indicates PFOS precursor reservoirs and may imply atmospheric/indoor/product-source pathways.","1633,fose,low to moderate","111","2020-01-01 00:00:00.000000","2026-07-02 10:45:04.873270","",""
"Fate","Is NMeFOSE terminal, a precursor, or an intermediate?","Precursor","1633,fose,low to moderate","112","2020-01-01 00:00:00.000000","2026-07-02 10:45:04.873270","",""
"Class","What PFAS class is NEtFOSE?","FOSE","1633,fose,low to moderate","113","2020-01-01 00:00:00.000000","2026-07-02 10:45:04.873270","",""
"Head group","What head group does NEtFOSE have?","Sulfonamidoethanol","1633,fose,low to moderate","114","2020-01-01 00:00:00.000000","2026-07-02 10:45:04.873270","",""
"Source","What source pattern is suggested by NEtFOSE?","NEtFOSE indicates PFOS precursor reservoirs and may imply atmospheric/indoor/product-source pathways.","1633,fose,low to moderate","115","2020-01-01 00:00:00.000000","2026-07-02 10:45:04.873270","",""
"Fate","Is NEtFOSE terminal, a precursor, or an intermediate?","Precursor","1633,fose,low to moderate","116","2020-01-01 00:00:00.000000","2026-07-02 10:45:04.873270","",""
"Class","What PFAS class is HFPO-DA?","PFECA","1633,pfeca,low","117","2020-01-01 00:00:00.000000","2026-07-02 10:45:04.873270","",""
"Head group","What head group does HFPO-DA have?","Ether carboxylic acid / carboxylate","1633,pfeca,low","118","2020-01-01 00:00:00.000000","2026-07-02 10:45:04.873270","",""
"Source","What source pattern is suggested by HFPO-DA?","HFPO-DA is a strong fluoropolymer-manufacturing/replacement-chemistry indicator.","1633,pfeca,low","119","2020-01-01 00:00:00.000000","2026-07-02 10:45:04.873270","",""
"Fate","Is HFPO-DA terminal, a precursor, or an intermediate?","Terminal replacement acid","1633,pfeca,low","120","2020-01-01 00:00:00.000000","2026-07-02 10:45:04.873270","",""
"Class","What PFAS class is ADONA?","PFECA","1633,pfeca,low","121","2020-01-01 00:00:00.000000","2026-07-02 10:45:04.873270","",""
"Head group","What head group does ADONA have?","Ether carboxylic acid / carboxylate","1633,pfeca,low","122","2020-01-01 00:00:00.000000","2026-07-02 10:45:04.873270","",""
"Source","What source pattern is suggested by ADONA?","ADONA points to fluoropolymer-manufacturing replacement chemistry rather than AFFF.","1633,pfeca,low","123","2020-01-01 00:00:00.000000","2026-07-02 10:45:04.873270","",""
"Fate","Is ADONA terminal, a precursor, or an intermediate?","Terminal replacement acid","1633,pfeca,low","124","2020-01-01 00:00:00.000000","2026-07-02 10:45:04.873270","",""
"Class","What PFAS class is PFMPA?","PFECA","1633,pfeca,low","125","2020-01-01 00:00:00.000000","2026-07-02 10:45:04.873270","",""
"Head group","What head group does PFMPA have?","Ether carboxylic acid / carboxylate","1633,pfeca,low","126","2020-01-01 00:00:00.000000","2026-07-02 10:45:04.873270","",""
"Source","What source pattern is suggested by PFMPA?","PFMPA is a short-chain ether carboxylate; source-specific interpretation requires co-occurring ether PFAS.","1633,pfeca,low","127","2020-01-01 00:00:00.000000","2026-07-02 10:45:04.873270","",""
"Fate","Is PFMPA terminal, a precursor, or an intermediate?","Terminal / persistent ether acid","1633,pfeca,low","128","2020-01-01 00:00:00.000000","2026-07-02 10:45:04.873270","",""
"Class","What PFAS class is PFMBA?","PFECA","1633,pfeca,low","129","2020-01-01 00:00:00.000000","2026-07-02 10:45:04.873270","",""
"Head group","What head group does PFMBA have?","Ether carboxylic acid / carboxylate","1633,pfeca,low","130","2020-01-01 00:00:00.000000","2026-07-02 10:45:04.873270","",""
"Source","What source pattern is suggested by PFMBA?","PFMBA is a short-chain ether carboxylate; interpret with other PFECA/PFESA compounds.","1633,pfeca,low","131","2020-01-01 00:00:00.000000","2026-07-02 10:45:04.873270","",""
"Fate","Is PFMBA terminal, a precursor, or an intermediate?","Terminal / persistent ether acid","1633,pfeca,low","132","2020-01-01 00:00:00.000000","2026-07-02 10:45:04.873270","",""
"Class","What PFAS class is NFDHA?","PFECA","1633,pfeca,low","133","2020-01-01 00:00:00.000000","2026-07-02 10:45:04.873270","",""
"Head group","What head group does NFDHA have?","Ether carboxylic acid / carboxylate","1633,pfeca,low","134","2020-01-01 00:00:00.000000","2026-07-02 10:45:04.873270","",""
"Source","What source pattern is suggested by NFDHA?","NFDHA is an ether carboxylate; source interpretation is strongest when it co-occurs with other replacement ether acids.","1633,pfeca,low","135","2020-01-01 00:00:00.000000","2026-07-02 10:45:04.873270","",""
"Fate","Is NFDHA terminal, a precursor, or an intermediate?","Terminal / persistent ether acid","1633,pfeca,low","136","2020-01-01 00:00:00.000000","2026-07-02 10:45:04.873270","",""
"Class","What PFAS class is 9Cl-PF3ONS?","Cl-PFESA / PFESA","1633,cl-pfesa / pfesa,low","137","2020-01-01 00:00:00.000000","2026-07-02 10:45:04.873270","",""
"Head group","What head group does 9Cl-PF3ONS have?","Chlorinated ether sulfonic acid / sulfonate","1633,cl-pfesa / pfesa,low","138","2020-01-01 00:00:00.000000","2026-07-02 10:45:04.873270","",""
"Source","What source pattern is suggested by 9Cl-PF3ONS?","9Cl-PF3ONS is a replacement ether sulfonate; not a classic AFFF marker.","1633,cl-pfesa / pfesa,low","139","2020-01-01 00:00:00.000000","2026-07-02 10:45:04.873270","",""
"Fate","Is 9Cl-PF3ONS terminal, a precursor, or an intermediate?","Terminal / persistent ether sulfonate","1633,cl-pfesa / pfesa,low","140","2020-01-01 00:00:00.000000","2026-07-02 10:45:04.873270","",""
"Class","What PFAS class is 11Cl-PF3OUdS?","Cl-PFESA / PFESA","1633,cl-pfesa / pfesa,low","141","2020-01-01 00:00:00.000000","2026-07-02 10:45:04.873270","",""
"Head group","What head group does 11Cl-PF3OUdS have?","Chlorinated ether sulfonic acid / sulfonate","1633,cl-pfesa / pfesa,low","142","2020-01-01 00:00:00.000000","2026-07-02 10:45:04.873270","",""
"Source","What source pattern is suggested by 11Cl-PF3OUdS?","11Cl-PF3OUdS is a long-chain replacement ether sulfonate with stronger sorption/bioaccumulation concerns than shorter ether acids.","1633,cl-pfesa / pfesa,low","143","2020-01-01 00:00:00.000000","2026-07-02 10:45:04.873270","",""
"Fate","Is 11Cl-PF3OUdS terminal, a precursor, or an intermediate?","Terminal / persistent ether sulfonate","1633,cl-pfesa / pfesa,low","144","2020-01-01 00:00:00.000000","2026-07-02 10:45:04.873270","",""
"Class","What PFAS class is PFEESA?","PFESA","1633,pfesa,low","145","2020-01-01 00:00:00.000000","2026-07-02 10:45:04.873270","",""
"Head group","What head group does PFEESA have?","Ether sulfonic acid / sulfonate","1633,pfesa,low","146","2020-01-01 00:00:00.000000","2026-07-02 10:45:04.873270","",""
"Source","What source pattern is suggested by PFEESA?","PFEESA is an ether sulfonate; interpret with other ether PFAS and industrial context.","1633,pfesa,low","147","2020-01-01 00:00:00.000000","2026-07-02 10:45:04.873270","",""
"Fate","Is PFEESA terminal, a precursor, or an intermediate?","Terminal / persistent ether sulfonate","1633,pfesa,low","148","2020-01-01 00:00:00.000000","2026-07-02 10:45:04.873270","",""
"Class","What PFAS class is 3:3FTCA?","FTCA","1633,ftca,moderate","149","2020-01-01 00:00:00.000000","2026-07-02 10:45:04.873270","",""
"Head group","What head group does 3:3FTCA have?","Carboxylic acid / carboxylate with telomer spacer","1633,ftca,moderate","150","2020-01-01 00:00:00.000000","2026-07-02 10:45:04.873270","",""
"Source","What source pattern is suggested by 3:3FTCA?","3:3FTCA is a telomer transformation product and supports precursor oxidation rather than only direct terminal PFCA release.","1633,ftca,moderate","151","2020-01-01 00:00:00.000000","2026-07-02 10:45:04.873270","",""
"Fate","Is 3:3FTCA terminal, a precursor, or an intermediate?","Intermediate transformation product","1633,ftca,moderate","152","2020-01-01 00:00:00.000000","2026-07-02 10:45:04.873270","",""
"Class","What PFAS class is 5:3FTCA?","FTCA","1633,ftca,moderate","153","2020-01-01 00:00:00.000000","2026-07-02 10:45:04.873270","",""
